DATALOAD,IRV_ASSET,,EN
ASSETID,LOCATION,ASSETNUM,SADDRESSCODE,DESCRIPTION,DESCRIPTION_LONGDESCRIPTION,HASLD,ISRUNNING,INSTALLDATE,ASSETTYPE,MANUFACTURER,IRV_MODEL,IRV_LEGASSETREF,SERIALNUM,IRV_ASSETCOND,IRV_CRITICALITY,IRV_EXPECTLIFE,IRV_LEGBARCODE,IRV_LEGCOND,IRV_REPLACEQTY,IRV_SIZECAP,IRV_SURVEYDATE,IRV_UOM,PLUSPCUSTOMER,LANGCODE,CHANGEBY,ORGID,SITEID,STATUS,STATUSDATE,CHANGEDATE,ASSETUID
,1006586,2014-63820,BBCADD009,CCTV SYSTEM,N/A,1,1,2000,FACILITIES,NOT PRESENT,NOT PRESENT,,NOT PRESENT,5,3,15,2014-63820,,1,,2014-04-25T10:34:00+00:00,Zones,BBC,,,,GB,OPERATING,,,
,1006586,2014-63822,BBCADD009,INTRUDER ALARM,PANIC ALAR ,1,1,2010,FACILITIES,SWIFT,NOT PRESENT,,,5,3,15,2014-63822,,1,,2014-04-25T10:44:00+00:00,Zones,BBC,,,,GB,OPERATING,,,
,1006587,2014-63709,BBCADD009,DOOR - POWER OPERATED - REVOLVING,N/A,1,1,1995,FACILITIES,NOT PRESENT,NOT PRESENT,,,4,4,15,2014-63709,,1,,2014-04-22T10:17:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006588,2014-63776,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB TP2/2L3,1,1,1990,FACILITIES,FEDERAL ELECTRIC,NOT PRESENT,,,4,2,20,2014-63776,,1,8,2014-04-22T13:35:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006588,2014-63777,BBCADD009,SPLIT SYSTEM INDOOR UNIT,N/A,1,1,1995,FACILITIES,IMI,NOT PRESENT,,NOT PRESENT,4,2,10,2014-63777,,1,Not Present,2014-04-22T13:36:00+00:00,kW,BBC,,,,GB,OPERATING,,,
,1006588,2014-63778,BBCADD009,SPLIT SYSTEM INDOOR UNIT,N/A,1,1,1995,FACILITIES,IMI,NOT PRESENT,,NOT PRESENT,4,2,10,2014-63778,,1,Not Present,2014-04-22T13:37:00+00:00,kW,BBC,,,,GB,OPERATING,,,
,1006589,2014-63768,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB A,1,1,2010,FACILITIES,ABB,HSMS 11C,,,5,2,20,2014-63768,,1,11,2014-04-22T13:16:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006589,2014-63769,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB B,1,1,2010,FACILITIES,ABB,HSMS 11C,,,5,2,20,2014-63769,,1,11,2014-04-22T13:17:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006589,2014-63770,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB TP/ABC/19,1,1,1995,FACILITIES,MEM,NOT PRESENT,,,2,2,20,2014-63770,,1,24,2014-04-22T13:18:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006589,2014-63771,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB TECH POWER T2,1,1,1995,FACILITIES,MEM,NOT PRESENT,,,2,2,20,2014-63771,,1,18,2014-04-22T13:19:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006590,2014-63774,BBCADD009,AUTO CHANGE OVER PANEL,UPS SUPPLY TO EXIT SUITE P4,1,1,1995,FACILITIES,NOT PRESENT,NOT PRESENT,,,3,2,20,2014-63774,,1,Not Present,2014-04-22T13:26:00+00:00,Volts,BBC,,,,GB,OPERATING,,,
,1006591,2014-63775,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB MBR4/7,1,1,2000,FACILITIES,VOLEX,PROTECTOR,,,5,1,20,2014-63775,,2,5,2014-04-22T13:29:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006592,2014-63723,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,N/A,1,1,2005,FACILITIES,MEM,AM13,,,5,2,20,2014-63723,,1,13,2014-04-22T10:52:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006592,2014-63724,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,N/A,1,1,2005,FACILITIES,SQUARE D,SQOM6,,,5,2,20,2014-63724,,1,6,2014-04-22T10:55:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006593,2014-63742,BBCADD009,LV ISOLATORS,MAIN ISOLATOR PRODUCTION LIGHTING,1,1,1990,FACILITIES,BILL,SOVEREIGN,,,5,1,20,2014-63742,,1,,2014-04-22T11:37:00+00:00,Amps,BBC,,,,GB,OPERATING,,,
,1006593,2014-63743,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB TP/ABC,1,1,1990,FACILITIES,KARTRET,NO ACCESS,,,4,1,20,2014-63743,,1,No Access,2014-04-22T11:40:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006593,2014-63744,BBCADD009,LV ISOLATORS,MAIN ISOLATOR TPN AC TP/ABC,1,1,1990,FACILITIES,BILL,SOVEREIGN,,,5,1,20,2014-63744,,1,,2014-04-22T11:39:00+00:00,Amps,BBC,,,,GB,OPERATING,,,
,1006594,2014-63725,BBCADD009,DOWNFLOW UNIT (CHILLED WATER),N/A,1,1,1995,FACILITIES,HIROSS,SPACEMAKER 2,,NOT PRESENT,5,2,15,2014-63725,,1,Not Present,2014-04-22T10:58:00+00:00,kW,BBC,,,,GB,OPERATING,,,
,1006595,2014-63780,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB TP/12,1,1,1990,FACILITIES,FEDERAL ELECTRIC,NOT PRESENT,,,4,2,20,2014-63780,,1,8,2014-04-22T13:43:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006596,2014-63764,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB TECHNICAL POWER,1,1,2010,FACILITIES,MEM,AM13,,,5,2,20,2014-63764,,1,13,2014-04-22T13:08:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006596,2014-63765,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB/TP/4R,1,1,2010,FACILITIES,EATON MEM,AM10,,,5,2,20,2014-63765,,1,10,2014-04-22T13:09:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006596,2014-63766,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB/UPS/PB/3L1,1,1,1995,FACILITIES,MERLIN GERIN,MGA6N,,,5,2,20,2014-63766,,1,6,2014-04-22T13:11:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006597,2014-63784,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,N/A,1,1,2010,FACILITIES,ABB,HIGH LEVEL,,,5,2,20,2014-63784,,1,High Level,2014-04-22T14:07:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
